segmento,setor,subsetor,ticker
Análises e Diagnósticos,Saúde,Análises e Diagnósticos,AALR3
Bancos,Financeiro,Intermediários Financeiros,ABCB4
Cervejas e Refrigerantes,Consumo não Cíclico,Bebidas,ABEV3
Análises e Diagnósticos,Saúde,Análises e Diagnósticos,ADHM3
Energia Elétrica,Utilidade Pública,Energia Elétrica,AFLT3
Agricultura,Consumo não Cíclico,Agropecuária,AGRO3
Produção de Eventos e Shows,Consumo Cíclico,Viagens e Lazer,AHEB3
Produção de Eventos e Shows,Consumo Cíclico,Viagens e Lazer,AHEB5
Calçados,Consumo Cíclico,"Tecidos, Vestuário e Calçados",ALPA3
Calçados,Consumo Cíclico,"Tecidos, Vestuário e Calçados",ALPA4
Exploração de Imóveis,Financeiro,Exploração de Imóveis,ALSO3
Energia Elétrica,Utilidade Pública,Energia Elétrica,ALUP11
Energia Elétrica,Utilidade Pública,Energia Elétrica,ALUP3
Energia Elétrica,Utilidade Pública,Energia Elétrica,ALUP4
"Tecidos, Vestuário e Calçados",Consumo Cíclico,Comércio,AMAR3
Serviços Educacionais,Consumo Cíclico,Diversos,ANIM3
Corretoras de Seguros,Financeiro,Previdência e Seguros,APER3
"Tecidos, Vestuário e Calçados",Consumo Cíclico,Comércio,ARZZ3
Outros,Outros,Outros,ATOM3
Construção Pesada,Bens Industriais,Construção e Engenharia,AZEV3
Construção Pesada,Bens Industriais,Construção e Engenharia,AZEV4
Transporte Aéreo,Bens Industriais,Transporte,AZUL4
Serviços Financeiros Diversos,Financeiro,Serviços Financeiros Diversos,B3SA3
Serviços Educacionais,Consumo Cíclico,Diversos,BAHI3
Equipamentos,Saúde,Equipamentos,BALM4
Carnes e Derivados,Consumo não Cíclico,Alimentos Processados,BAUH4
Bancos,Financeiro,Intermediários Financeiros,BAZA3
Bancos,Financeiro,Intermediários Financeiros,BBAS3
Bancos,Financeiro,Intermediários Financeiros,BBDC3
Bancos,Financeiro,Intermediários Financeiros,BBDC4
Intermediação Imobiliária,Financeiro,Exploração de Imóveis,BBRK3
